"p_value","log_fold_change","gene","adjusted_p_value"
0.903673039784753,-69.0346549368559,"S6",0.968797856466338
0.917808495599688,-68.7155503731333,"CD127/IL7RA",0.968797856466338
0.359718515767947,22753.2707026812,"Histone H3",0.525742446122385
0.581735107588841,-858.588808189135,"GAPDH",0.762273589254343
4.51419575591838e-06,404.734653240582,"Rb IgG",0.000171539438724899
0.783612604189107,407.753806436423,"CD45",0.902341786642002
0.00154553070604489,225.451395029743,"CD163",0.00734127085371324
0.864915872465513,71.8027749697997,"CD34",0.966670680990867
0.0342715933119104,2678.09553268503,"Ki-67",0.0651160272926298
0.00131064580801161,338.595199966011,"Rt IgG2a",0.00711493438634871
0.000359964962120873,376.978051666757,"GFP",0.00273573371211863
0.00310350001271509,187.912290472725,"Rt IgG2b",0.00935716355750716
0.000112084277851085,305.287331897521,"Ly6G/Ly6C",0.0010648006395853
0.22599268670244,247.875900627814,"CD11c",0.343508883787708
0.982323358207525,7.53896309101968,"F4/80",0.982323358207525
0.197655046847684,143.05767925668,"MHC II",0.312953824175499
0.15145699699326,116.719614136987,"CD68",0.261607540261086
0.0262368097513892,245.81514865395,"PD-L1",0.0524736195027784
0.507830119002686,-1569.47088324245,"CD11b",0.714723871188965
0.559684351372103,206.38141892587,"CD39",0.759571619719283
6.83207359733869e-05,441.454839275771,"CD31",0.000865395988996235
0.77863487509997,32.7967722198672,"CD40L",0.902341786642002
0.00617602443635218,240.91202333709,"CD27",0.0146680580363364
0.00236784763271494,337.963646059009,"BatF3",0.00935716355750716
0.0195914809801527,683.60382444601,"GZMB",0.0413597931803223
0.000662455296088775,613.340045205767,"CD19",0.00419555020856224
0.147357233957956,57.3567458975224,"PD-1",0.261607540261086
0.00283938050439946,280.783143757792,"CD3e",0.00935716355750716
0.605815733653301,272.468485381207,"Fibronectin",0.767366595960848
0.0093607341126777,128.261088688436,"CD4",0.0209239938989266
0.0033620857249203,177.410618879715,"CD8a",0.00935716355750716
6.41696345699184e-05,337.284605697607,"CD28",0.000865395988996235
0.00544449916017039,101.538739838598,"FOXP3",0.013792731205765
0.00344737604750264,146.688175052247,"CD40",0.00935716355750716
0.953577221368678,25.5118575130108,"CD14",0.979349578702966
0.189927917690063,-7868.82900328175,"CD44",0.312953824175499
0.0028967960014369,267.10172680592,"ICOS",0.00935716355750716
0.755340182473307,21.8859460919095,"CD86",0.902341786642002
